Mando'a,Pronunciation,English
vutyc,VOOT-eesh,special
waadas,WAH-daas,credits; wealth
waadasla,wah-DAHS-lah,valuable
warra'se,WAR-ah-say,warra nuts
wasuur,WAH-soor,west
Wayii!,Why-EE or WHY-ee,Good grief! General exclamation of surprise; good or bad.
wer,wair,eon (archaic)
Wer'cuy,Wair-COO-ee,It was ages ago. - colloquial; often used as *Forget it* or *It doesn't matter*
werda ,WAIR-dah,darkness - archaic plural - dha werda - dark light; shadows -i.e. stealth
werde,WAIR-day,darkness
werdla,WAIRD-lah,stealthy; invisible
werlaara,wer-LAR-ah,myth (archaic)
woor,wooer,wind
yacur,YAH-soor,flush out
ya'gai,YAH-guy,bowl
yai,yay,belly; womb
yaihadla,yai-HAHD-lah,pregnant
yaihi'l,YAH-heel,full
yaim,yaym,home
yaimi,yay-MEE,neighbor
yaim'la,YAYM`la,comfortable; familiar; sense of *at home*. Can also mean local to the speaker.
yaim'ol,yai-MOHL,return; homecoming
yaimpar,yay-EEM-par,return
yai'yai,YAY-aye,*richly nourishing* - peculiarly Mandalorian description of dense; high-calorie food; of great importance to people dependent on highly portable field rations
yaiyai'yc,yai-YAI-eesh,bloated; satisfied
yamika,yah-MEE-kah,room; chamber
yilad,yee-LAHD,array (noun) 
yustapir,YOOST-ah-PEER,river (lit: water road)
yustarud,YOOST-arood,perimeter
